CriWare/src/sofdec/sfdcore/sfd/sfd_pl2	5	3+0	2
CriWare/src/sofdec/sfdcore/sfd/sfd_ply	30	18+2	10
CriWare/src/sofdec/sfdcore/sfd/sfd_pts	7	5+1	1
CriWare/src/sofdec/sfdcore/sfd/sfd_see	11	9+0	2
CriWare/src/sofdec/sfdcore/sfd/sfd_seeki	2	2+0	0
CriWare/src/sofdec/sfdcore/sfd/sfd_set	7	6+1	0
CriWare/src/sofdec/sfdcore/sfd/sfd_tim	46	28+10	8
CriWare/src/sofdec/sfdcore/sfd/sfd_tmr	4	2+0	2
CriWare/src/sofdec/sfdcore/sfd/sfd_trn	11	9+2	0
CriWare/src/sofdec/sfdcore/sfd/sfd_tst	13	11+0	2
CriWare/src/sofdec/sfdcore/sfd/sfd_uo	15	15+0	0
CriWare/src/sofdec/sfdcore/sfd/sfd_vom	14	14+0	0
CriWare/src/sofdec/sfdcore/sfh/sfh_local	4	4+0	0
CriWare/src/sofdec/sfdcore/sfh/sfh_main	39	38+1	0
CriWare/src/sofdec/sfdcore/sfh/sfh_ver1	38	34+3	1
CriWare/src/sofdec/sfdcore/sfh/sfh_ver2	39	31+2	6
CriWare/src/sofdec/sfdcore/uty/cmptime	1	0+1	0
CriWare/src/sofdec/sfdcore/uty/memcpyd	1	1+0	0
CriWare/src/sofdec/sfdcore/uty/memsetd	1	1+0	0
CriWare/src/sofdec/sfdcore/uty/muldiv	1	0+1	0
CriWare/src/sofdec/sfdcore/uty/muldivr	1	1+0	0
CriWare/src/sofdec/sfdcore/uty/uty_tmr	5	2+2	1
CriWare/src/sofdec/sfx/sfx_alp	7	5+1	1
CriWare/src/sofdec/sfx/sfx_cnv	16	9+0	7
CriWare/src/sofdec/sfx/sfx_cnv_to_Y84C44	1	1+0	0
CriWare/src/sofdec/sfx/sfx_inf	1	1+0	0
CriWare/src/sofdec/sfx/sfx_lib	8	5+0	3
CriWare/src/sofdec/sfx/sfx_set	10	9+1	0
CriWare/src/sofdec/sfx/sfx_sud	1	1+0	0
CriWare/src/sofdec/sfx/sfx_zmv	11	3+1	7
CriWare/src/sofdec/sud/sud_lib	4	2+1	1
NdevExi2A/src/DebuggerDriver	9	9+0	0
NdevExi2A/src/exi2	6	6+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/FILE_POS	3	3+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/alloc	4	4+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/ansi_files	2	2+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/arith	2	2+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/buffer_io	2	1+1	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/direct_io	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/extras	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/file_io	2	2+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/math_api	3	3+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/math_double	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/mbstring	5	5+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/mem	4	4+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/mem_funcs	4	3+0	1
PowerPC_EABI_Support/src/MSL_C/MSL_Common/misc_io	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/printf	14	14+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/rand	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/scanf	4	4+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/secure_error	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/signal	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/string	8	8+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/strtold	2	2+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/strtoul	4	4+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/wchar_io	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/wcstoul	2	2+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/wmem	2	2+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/wprintf	9	9+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/wscanf	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common/wstring	5	5+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/e_acos	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/e_asin	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/e_atan2	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/e_fmod	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/e_log	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/e_log10	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/e_pow	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/e_rem_pio2	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/e_sqrt	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/k_cos	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/k_rem_pio2	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/k_sin	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/k_tan	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/s_atan	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/s_ceil	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/s_copysign	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/s_cos	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/s_floor	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/s_frexp	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/s_ldexp	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/s_modf	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/s_sin	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/s_tan	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/w_acos	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/w_asin	1	1+0	0
